location_ID,plot_ID,x.m,y.m,burn_severity,WD_0cm_1.sec,WD_0cm_2.sec,WD_0cm_3.sec,WD_1cm_1.sec,WD_1cm_2.sec,WD_1cm_3.sec,WD_2cm_1.sec,WD_2cm_2.sec,WD_2cm_3.sec,WD_3cm_1.sec,WD_3cm_2.sec,WD_3cm_3.sec,WD_4cm.hydrophobic,WD_5cm.hydrophobic,litter_depth.cm,theta_i.percent,LF1,LF2,LF3,ground_cover,overstory1,overstory2,notes,S.mm_hr0.5,kfs.mm_hr,hf.m,a1,a2,c1,c2,bulk_density.gcm3,soil_texture_class,sand.percent,silt.percent,clay.percent,total_organic_carbon.percent,total_nitrogen.percent,notes_soil
1_0_0,1,0,0,high,3,3,3,3,4,3,9,3,3,3,9,3,FALSE,FALSE,0,2,,,,L,no live,,NA,47.64670984010381,17.794907025311947,0.18489323413242395,1.0704469723902212,3.8879818939846293,0.0850054604878241,0.0019218410088764648,0.9932258060000002,Sandy Loam,66,30,4,2.3,0.11,NA
1_0_1,1,0,1,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.4,,,,R,no live,,NA,108.51835222447637,94.54201278254561,0.1805229602319354,1.0704469723902212,3.8879818939846293,0.19360523597911058,0.010210489831094467,NA,NA,NA,NA,NA,NA,NA,NA
1_0_2,1,0,2,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_0_3,1,0,3,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,3.1,F,,,B,no live,,NA,111.36296684531257,149.3557042828462,0.1203401865185042,1.0704469723902212,3.8879818939846293,0.19868025115992896,0.016130340944861907,NA,NA,NA,NA,NA,NA,NA,NA
1_0_4,1,0,4,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,2.6,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_0_5,1,0,5,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.2,4.7,G,L,,B,no live,,NA,63.11903256646963,164.1594038201596,0.03517270832376511,1.0704469723902212,3.8879818939846293,0.11260929551829528,0.017729133049446996,NA,NA,NA,NA,NA,NA,NA,NA
1_0_6,1,0,6,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_0_7,1,0,7,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,L,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_0_8,1,0,8,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.1,1.1,G,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_0_9,1,0,9,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.3,L,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
