date,location_ID,burn_severity,plot_ID,x.m,y.m,suction.cm,time.sec,I.cm
2020-06-09,1_0_5,high,1,0,5,-1,0,0
2020-06-09,1_0_5,high,1,0,5,-1,5,0.1886280807015056
2020-06-09,1_0_5,high,1,0,5,-1,10,0.3772561614030112
2020-06-09,1_0_5,high,1,0,5,-1,16,0.5658842421045168
2020-06-09,1_0_5,high,1,0,5,-1,23,0.8173883497065243
2020-06-09,1_0_5,high,1,0,5,-1,31,1.0688924573085317
2020-06-09,1_0_5,high,1,0,5,-1,41,1.3203965649105391
2020-06-09,1_0_5,high,1,0,5,-1,48,1.5719006725125466
2020-06-09,1_0_5,high,1,0,5,-1,55,1.7605287532140523
2020-06-09,1_0_5,high,1,0,5,-1,63,1.9491568339155578
2020-06-09,1_0_5,high,1,0,5,-1,74,2.2635369684180673
2020-06-09,1_0_5,high,1,0,5,-1,84,2.5150410760200748
2020-06-09,1_0_5,high,1,0,5,-1,92,2.7036691567215803
2020-06-09,1_0_5,high,1,0,5,-1,100,2.8922972374230858
2020-06-09,1_0_5,high,1,0,5,-1,107,3.0180492912240897
2020-06-09,1_0_5,high,1,0,5,-1,117,3.269553398826097
2020-06-09,1_0_5,high,1,0,5,-1,128,3.5210575064281047
2020-06-09,1_0_5,high,1,0,5,-1,139,3.772561614030112
2020-06-09,1_0_5,high,1,0,5,-1,147,3.9611896947316176
2020-06-09,1_0_5,high,1,0,5,-1,157,4.149817775433124
2020-06-09,1_0_5,high,1,0,5,-1,168,4.401321883035131
2020-06-09,1_0_5,high,1,0,5,-1,177,4.589949963736636
2020-06-09,1_0_5,high,1,0,5,-1,186,4.778578044438142
2020-06-09,1_0_5,high,1,0,5,-1,193,4.904330098239146
2020-06-09,1_0_5,high,1,0,5,-1,202,5.092958178940651
2020-06-09,1_0_5,high,1,0,5,-1,213,5.344462286542659
2020-06-09,1_0_5,high,1,0,5,-1,223,5.5330903672441645
2020-06-09,1_2_8,high,1,2,8,-1,0,0
2020-06-09,1_2_8,high,1,2,8,-1,2,0.12575205380100374
2020-06-09,1_2_8,high,1,2,8,-1,9,0.503008215204015
2020-06-09,1_2_8,high,1,2,8,-1,14,0.8173883497065243
2020-06-09,1_2_8,high,1,2,8,-1,20,1.1317684842090336
2020-06-09,1_2_8,high,1,2,8,-1,26,1.4461486187115429
2020-06-09,1_2_8,high,1,2,8,-1,32,1.7605287532140523
2020-06-09,1_2_8,high,1,2,8,-1,39,2.074908887716562
2020-06-09,1_2_8,high,1,2,8,-1,45,2.389289022219071
2020-06-09,1_2_8,high,1,2,8,-1,58,2.8922972374230858
2020-06-09,1_2_8,high,1,2,8,-1,69,3.3953054526271007
2020-06-09,1_2_8,high,1,2,8,-1,76,3.646809560229108
2020-06-09,1_2_8,high,1,2,8,-1,82,3.8983136678311157
2020-06-09,1_2_8,high,1,2,8,-1,90,4.212693802333625
2020-06-09,1_2_8,high,1,2,8,-1,97,4.464197909935632
2020-06-09,1_2_8,high,1,2,8,-1,105,4.778578044438142
2020-06-09,1_2_8,high,1,2,8,-1,114,5.092958178940651
2020-06-09,1_2_8,high,1,2,8,-1,121,5.344462286542659
2020-06-09,1_2_8,high,1,2,8,-1,125,5.5330903672441645
2020-06-09,1_8_8,high,1,8,8,-1,0,0
2020-06-09,1_8_8,high,1,8,8,-1,3,0.1886280807015056
2020-06-09,1_8_8,high,1,8,8,-1,10,0.8173883497065243
2020-06-09,1_8_8,high,1,8,8,-1,15,1.1317684842090336
2020-06-09,1_8_8,high,1,8,8,-1,20,1.5090246456120449
2020-06-09,1_8_8,high,1,8,8,-1,26,1.823404780114554
2020-06-09,1_8_8,high,1,8,8,-1,32,2.1377849146170633
2020-06-09,1_8_8,high,1,8,8,-1,38,2.452165049119573
2020-06-09,1_8_8,high,1,8,8,-1,44,2.7665451836220822
2020-06-09,1_8_8,high,1,8,8,-1,50,3.0809253181245913
2020-06-09,1_8_8,high,1,8,8,-1,57,3.3953054526271007
2020-06-09,1_8_8,high,1,8,8,-1,64,3.70968558712961
2020-06-09,1_8_8,high,1,8,8,-1,70,4.02406572163212
2020-06-09,1_8_8,high,1,8,8,-1,78,4.338445856134629
2020-06-09,1_8_8,high,1,8,8,-1,86,4.6528259906371385
2020-06-09,1_8_8,high,1,8,8,-1,94,4.967206125139647
2020-06-09,1_8_8,high,1,8,8,-1,101,5.2815862596421566
2020-06-09,1_3_0,high,1,3,0,-1,0,0
2020-06-09,1_3_0,high,1,3,0,-1,4,0.12575205380100374
2020-06-09,1_3_0,high,1,3,0,-1,10,0.3772561614030112
2020-06-09,1_3_0,high,1,3,0,-1,18,0.6916362959055206
2020-06-09,1_3_0,high,1,3,0,-1,25,0.943140403507528
2020-06-09,1_3_0,high,1,3,0,-1,31,1.1317684842090336
2020-06-09,1_3_0,high,1,3,0,-1,39,1.3832725918110411
2020-06-09,1_3_0,high,1,3,0,-1,48,1.6347766994130486
2020-06-09,1_3_0,high,1,3,0,-1,57,1.886280807015056
2020-06-09,1_3_0,high,1,3,0,-1,65,2.074908887716562
2020-06-09,1_3_0,high,1,3,0,-1,72,2.2635369684180673
2020-06-09,1_3_0,high,1,3,0,-1,79,2.452165049119573
2020-06-09,1_3_0,high,1,3,0,-1,87,2.6407931298210783
2020-06-09,1_3_0,high,1,3,0,-1,95,2.8294212105225838
2020-06-09,1_3_0,high,1,3,0,-1,101,2.9551732643235877
2020-06-09,1_3_0,high,1,3,0,-1,109,3.1438013450250932
2020-06-09,1_3_0,high,1,3,0,-1,120,3.3953054526271007
2020-06-09,1_3_0,high,1,3,0,-1,128,3.583933533328606
2020-06-09,1_3_0,high,1,3,0,-1,136,3.772561614030112
2020-06-09,1_3_0,high,1,3,0,-1,145,3.9611896947316176
2020-06-09,1_3_0,high,1,3,0,-1,157,4.212693802333625
2020-06-09,1_3_0,high,1,3,0,-1,166,4.401321883035131
2020-06-09,1_3_0,high,1,3,0,-1,174,4.589949963736636
2020-06-09,1_3_0,high,1,3,0,-1,183,4.778578044438142
2020-06-09,1_3_0,high,1,3,0,-1,192,4.967206125139647
2020-06-09,1_3_0,high,1,3,0,-1,201,5.155834205841153
2020-06-09,1_3_0,high,1,3,0,-1,210,5.344462286542659
2020-06-09,1_3_0,high,1,3,0,-1,216,5.470214340343662
2020-06-09,1_5_0,high,1,5,0,-1,0,0
2020-06-09,1_5_0,high,1,5,0,-1,3,0.12575205380100374
2020-06-09,1_5_0,high,1,5,0,-1,8,0.3772561614030112
2020-06-09,1_5_0,high,1,5,0,-1,15,0.6916362959055206
2020-06-09,1_5_0,high,1,5,0,-1,21,1.00601643040803
2020-06-09,1_5_0,high,1,5,0,-1,28,1.3203965649105391
2020-06-09,1_5_0,high,1,5,0,-1,34,1.6347766994130486
2020-06-09,1_5_0,high,1,5,0,-1,40,1.886280807015056
2020-06-09,1_5_0,high,1,5,0,-1,48,2.2006609415175653
2020-06-09,1_5_0,high,1,5,0,-1,55,2.452165049119573
2020-06-09,1_5_0,high,1,5,0,-1,62,2.7665451836220822
2020-06-09,1_5_0,high,1,5,0,-1,68,2.9551732643235877
2020-06-09,1_5_0,high,1,5,0,-1,76,3.269553398826097
2020-06-09,1_5_0,high,1,5,0,-1,85,3.583933533328606
2020-06-09,1_5_0,high,1,5,0,-1,92,3.8354376409306137
2020-06-09,1_5_0,high,1,5,0,-1,99,4.086941748532621
2020-06-09,1_5_0,high,1,5,0,-1,106,4.338445856134629
2020-06-09,1_5_0,high,1,5,0,-1,113,4.589949963736636
2020-06-09,1_5_0,high,1,5,0,-1,121,4.841454071338644
2020-06-09,1_5_0,high,1,5,0,-1,128,5.092958178940651
2020-06-09,1_5_0,high,1,5,0,-1,136,5.344462286542659
2020-06-09,1_5_5,high,1,5,5,-1,0,0
2020-06-09,1_5_5,high,1,5,5,-1,3,0.12575205380100374
2020-06-09,1_5_5,high,1,5,5,-1,9,0.3772561614030112
2020-06-09,1_5_5,high,1,5,5,-1,16,0.6916362959055206
2020-06-09,1_5_5,high,1,5,5,-1,23,0.943140403507528
2020-06-09,1_5_5,high,1,5,5,-1,29,1.1317684842090336
2020-06-09,1_5_5,high,1,5,5,-1,35,1.3832725918110411
2020-06-09,1_5_5,high,1,5,5,-1,44,1.6976527263135504
2020-06-09,1_5_5,high,1,5,5,-1,53,1.9491568339155578
2020-06-09,1_5_5,high,1,5,5,-1,61,2.1377849146170633
2020-06-09,1_5_5,high,1,5,5,-1,67,2.3264129953185693
