location_ID,plot_ID,burn_severity,x.m,y.m,WD_0cm_1.sec,WD_0cm_2.sec,WD_0cm_3.sec,WD_1cm_1.sec,WD_1cm_2.sec,WD_1cm_3.sec,WD_2cm_1.sec,WD_2cm_2.sec,WD_2cm_3.sec,WD_3cm_1.sec,WD_3cm_2.sec,WD_3cm_3.sec,WD_4cm.hydrophobic,WD_5cm.hydrophobic,litter_depth.cm,theta_i.percent,LF1,LF2,LF3,ground_cover,overstory1,overstory2,notes
1_0_0,1,high,0,0,3,3,3,3,4,3,9,3,3,3,9,3,FALSE,FALSE,0,2,,,,L,no live,,NA
1_0_1,1,high,0,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.4,,,,R,no live,,NA
1_0_2,1,high,0,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture
1_0_3,1,high,0,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,3.1,F,,,B,no live,,NA
1_0_4,1,high,0,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,2.6,,,,B,no live,,NA
1_0_5,1,high,0,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.2,4.7,G,L,,B,no live,,NA
1_0_6,1,high,0,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
1_0_7,1,high,0,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,L,,,B,no live,,too rocky for soil moisture
1_0_8,1,high,0,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.1,1.1,G,,,L,no live,,NA
1_0_9,1,high,0,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.3,L,,,L,no live,,NA
1_0_10,1,high,0,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.3,1.3,F,L,,L,no live,,NA
