location_ID,plot_ID,x.m,y.m,burn_severity,bulk_density.gcm3,tin_ID,date_in_oven,date_out_oven,can_soil.g,can.g,soil.g,initial_volume.cm3,end_volume.cm3,volume.cm3,Notes
1_0_0,1,0,0,high,0.9932258060000001,14,2020-07-13,2020-07-15,372.6,64.7,307.9,130,440,310,NA
1_0_10,1,0,10,high,0.9878571429999999,12,2020-07-13,2020-07-15,340.3,63.7,276.6,400,680,280,NA
1_10_0,1,10,0,high,1.054333333,13,2020-07-13,2020-07-15,381.2,64.9,316.3,130,430,300,NA
1_10_10,1,10,10,high,1.4126666669999997,11,2020-07-07,2020-07-09,276.5,64.6,211.9,210,360,150,NA
2_0_0,2,0,0,high,1.062580645,11,2020-07-13,2020-07-15,393.9,64.5,329.4,320,630,310,NA
2_0_10,2,0,10,high,1.354193548,21,2020-07-13,2020-07-15,426.5,6.7,419.8,300,610,310,NA
2_10_0,2,10,0,high,1.0785714290000001,6,2020-07-13,2020-07-15,366.5,64.5,302,310,590,280,NA
2_10_10,2,10,10,high,1.08875,24,2020-07-13,2020-07-15,180.9,6.7,174.2,300,460,160,NA
3_0_0,3,0,0,high,NA,3,2020-07-07,2020-07-09,407.7,64.4,343.3,NA,NA,NA,NA
3_0_10,3,0,10,high,1.1562500000000002,20,2020-07-07,2020-07-09,284.2,6.7,277.5,310,550,240,NA
3_10_0,3,10,0,high,0.896285714,5,2020-07-07,2020-07-09,378.8,65.1,313.7,310,660,350,NA
3_10_10,3,10,10,high,1.0335294119999996,5,2020-07-13,2020-07-15,416.5,65.1,351.4,300,640,340,NA
4_0_0,4,0,0,moderate,1.379,19,2020-07-13,2020-07-15,478.5,64.8,413.7,750,1050,300,NA
4_0_10,4,0,10,moderate,1.0065217389999999,9,2020-07-13,2020-07-15,295.8,64.3,231.5,740,970,230,NA
4_10_0,4,10,0,moderate,0.9796551720000001,15,2020-07-13,2020-07-15,348.5,64.4,284.1,720,1010,290,NA
4_10_10,4,10,10,moderate,1.0958064519999997,18,2020-07-07,2020-07-09,403.9,64.2,339.7,750,1060,310,NA
5_0_0,5,0,0,moderate,1.1821739130000002,23,2020-07-07,2020-07-09,280.2,8.3,271.9,750,980,230,NA
5_0_10,5,0,10,moderate,1.3088888890000001,2,2020-07-07,2020-07-09,300.1,64.5,235.6,750,930,180,NA
5_10_0,5,10,0,moderate,1.2391666669999997,7,2020-07-13,2020-07-15,362,64.6,297.4,760,1000,240,NA
5_10_10,5,10,10,moderate,1.3357692309999998,1,2020-07-13,2020-07-15,411.4,64.1,347.3,760,1020,260,NA
6_0_0,6,0,0,moderate,1.21,15,2020-07-07,2020-07-09,379,64.4,314.6,760,1020,260,NA
6_0_10,6,0,10,moderate,1.031785714,16,2020-07-13,2020-07-15,352.9,64,288.9,760,1040,280,NA
6_10_0,6,10,0,moderate,1.1540909090000002,20,2020-07-13,2020-07-15,260.5,6.6,253.9,760,980,220,NA
6_10_10,6,10,10,moderate,0.8908695649999999,1,2020-07-07,2020-07-09,269.1,64.2,204.9,760,990,230,NA
7_0_0,7,0,0,low,1.2278947369999995,22,2020-07-13,2020-07-15,240,6.7,233.3,790,980,190,NA
7_0_10,7,0,10,low,1.0905,4,2020-07-13,2020-07-15,282.1,64,218.1,780,980,200,NA
7_10_0,7,10,0,low,0.7583333329999999,24,2020-07-07,2020-07-09,234.1,6.6,227.5,810,1110,300,NA
7_10_10,7,10,10,low,0.974814815,19,2020-07-07,2020-07-09,327.9,64.7,263.2,820,1090,270,NA
8_0_0,8,0,0,low,0.8153658540000001,17,2020-07-07,2020-07-09,398.6,64.3,334.3,750,1160,410,NA
8_0_10,8,0,10,low,1.1686956519999998,8,2020-07-07,2020-07-09,332.6,63.8,268.8,760,990,230,NA
8_10_0,8,10,0,low,1.13804878,8,2020-07-13,2020-07-15,530.3,63.7,466.6,740,1150,410,NA
8_10_10,8,10,10,low,0.910833333,6,2020-07-07,2020-07-09,392.4,64.5,327.9,760,1120,360,NA
9_0_0,9,0,0,low,0.903103448,2,2020-07-13,2020-07-15,326.3,64.4,261.9,740,1030,290,NA
9_0_10,9,0,10,low,0.7664516130000001,10,2020-07-13,2020-07-15,301.6,64,237.6,750,1060,310,NA
9_10_0,9,10,0,low,1.0878571430000001,4,2020-07-07,2020-07-09,368.5,63.9,304.6,730,1010,280,NA
9_10_10,9,10,10,low,1.082,23,2020-07-13,2020-07-15,333,8.4,324.6,750,1050,300,NA
10_0_0,10,0,0,unburned,0.8934782609999999,17,2020-07-13,2020-07-15,269.9,64.4,205.5,770,1000,230,NA
10_0_10,10,0,10,unburned,1.3552631579999999,22,2020-07-07,2020-07-09,264.3,6.8,257.5,780,970,190,NA
10_10_0,10,10,0,unburned,1.0741666669999999,18,2020-07-13,2020-07-15,322,64.2,257.8,770,1010,240,NA
10_10_10,10,10,10,unburned,1.178461538,3,2020-07-13,2020-07-15,370.8,64.4,306.4,760,1020,260,NA
11_0_0,11,0,0,unburned,0.8455555560000001,16,2020-07-07,2020-07-09,292.3,64,228.3,290,560,270,NA
11_0_10,11,0,10,unburned,0.927333333,12,2020-07-07,2020-07-09,342,63.8,278.2,270,570,300,NA
11_10_0,11,10,0,unburned,1.1864000000000001,10,2020-07-07,2020-07-09,360.6,64,296.6,290,540,250,NA
11_10_10,11,10,10,unburned,0.9203571429999999,21,2020-07-07,2020-07-09,264.4,6.7,257.7,270,550,280,NA
12_0_0,12,0,0,unburned,1.308125,14,2020-07-07,2020-07-09,274,64.7,209.3,280,440,160,NA
12_0_10,12,0,10,unburned,0.9986956520000002,13,2020-07-07,2020-07-09,294.5,64.8,229.7,260,490,230,NA
12_10_0,12,10,0,unburned,1.0875862069999997,7,2020-07-07,2020-07-09,380.1,64.7,315.4,250,540,290,NA
12_10_10,12,10,10,unburned,0.865185185,9,2020-07-07,2020-07-09,298,64.4,233.6,270,540,270,NA
