location_ID,burn_severity,plot_ID,x.m,y.m,soil_texture_class,sand.percent,silt.percent,clay.percent,total_organic_carbon.percent,total_nitrogen.percent,soil_texture_ID,carbon_nitrogen_ID,Notes
1_0_0,high,1,0,0,Sandy Loam,66,30,4,2.3,0.11,STH1-0-0,TOCH1-0-0,NA
1_0_10,high,1,0,10,Loamy Sand,74,24,2,3.3,0.18,STH1-0-10,TOCH1-0-10,NA
1_10_0,high,1,10,0,Sandy Loam,70,28,2,2.3,0.19,STH1-10-0,TOCH1-10-0,NA
1_10_10,high,1,10,10,Loamy Sand,74,24,2,3.3,0.18,STH1-10-10,TOCH1-10-10,NA
2_0_0,high,2,0,0,Sandy Loam,72,24,4,2.6,0.13,STH2-0-0,TOCH2-0-0,NA
2_0_10,high,2,0,10,Loamy Sand,76,20,4,2,0.11,STH2-0-10,TOCH2-0-10,NA
2_NA_NA,high,2,NA,NA,Loamy Sand,76,22,2,2.5,0.15000000000000002,STH2-A,TOCH2-A,STH2-A and TOCH2-A are not necessarily from same point
2_NA_NA,high,2,NA,NA,Sandy Loam,74,22,4,3.3,0.18,STH2-B,TOCH2-B,STH2-B and TOCH2-B are not necessarily from same point
3_0_0,high,3,0,0,Sandy Loam,72,22,6,2.1,0.14,STH3-0-0,TOCH3-0-0,NA
3_0_10,high,3,0,10,Loamy Sand,76,20,4,2.7,0.12000000000000001,STH3-0-10,TOCH3-0-10,NA
3_10_0,high,3,10,0,Loamy Sand,76,20,4,2.1,0.11,STH3-10-0,TOCH3-10-0,NA
3_10_10,high,3,10,10,Sandy Loam,70,28,2,3.8,0.28,STH3-10-10,TOCH3-10-10,NA
4_0_0,moderate,4,0,0,Sandy Loam,72,24,4,3.8,0.28,STM4-0-0,TOCM4-0-0,NA
4_0_10,moderate,4,0,10,Sandy Loam,72,26,2,3.2,0.24000000000000002,STM4-0-10,TOCM4-0-10,NA
4_10_0,moderate,4,10,0,Sandy Loam,74,24,2,2.9,0.15000000000000002,STM4-10-0,TOCM4-10-0,NA
4_10_10,moderate,4,10,10,Sandy Loam,72,24,4,2.7,0.16,STM4-10-10,TOCM4-10-10,NA
5_0_0,moderate,5,0,0,Sandy Loam,70,26,4,1.8,0.13,STM5-0-0,TOCM5-0-0,NA
5_0_10,moderate,5,0,10,Sandy Loam,68,28,4,3.5,0.18,STM5-0-10,TOCM5-0-10,NA
